occurrenceID,materialEntityID,basisOfRecord,datasetName,institutionCode,catalogNumber,materialEntityCategory,materialEntityType,taxonID,scientificName,scientificNameAuthorship,originalNameUsage,higherClassification,locationID,locality,island,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,associatedReferences,materialEntityRemarks,occurrenceRemarks,taxonRemarks,locationRemarks,dynamicProperties
MAS-SP-0001,MAS-SP-0001,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 3224,fossil,"Long bone diaphysis, probably tibia or femur.",MAS-TAX-0001,Raphus cucullatus,"(Linnaeus, 1758)",Raphus cucullatus,,MAS-LOC-0001,Petite Riviere,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/0729504b-1b72-40fe-bcf9-7455ea088784/1789031152519,checked and verified,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified. Duplicate taxon record MAS-TAX-0013 was merged during database cleanup.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0002,MAS-SP-0002,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1387,fossil,Musket ball on carpometacarpus (CMC) of a male bird. Thin sectioned by Tony Wighton.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene ?. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0003,MAS-SP-0003,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 3296,fossil,mandibular symphysis,MAS-TAX-0003,Lophopsittacus mauritianus,"Owen, 1866","Lophopsittacus mauritianus Owen, 1866",,MAS-LOC-0003,Mare aux Songes,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/b23f8cc5-a340-4a0f-9faf-0262655b560f/1789031152519,checked and verified,"Lophopsittacus mauritianus Owen, 1866. Quaternary, Pleistocene. Mare aux Songes, Mauritius",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification. Name standardized to 'Mare aux Songes'; hyphenated forms are retained in specimen provenance when present.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""],""taxonSynonyms"":""Psittacus mauritianus""}"
MAS-SP-0004,MAS-SP-0004,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9041,fossil,humerus male right.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0005,MAS-SP-0005,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9042,fossil,coracoid left female,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0006,MAS-SP-0006,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9043,fossil,"ulna male right, pathological.",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0007,MAS-SP-0007,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9044,fossil,Carpometacarpus without carpal knob; male.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0008,MAS-SP-0008,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9045,fossil,carpometacarpus with carpal knob ('musket ball'); female. Left.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0009,MAS-SP-0009,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9046,fossil,Carpometacarpus without carpal knob; female. Left.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0010,MAS-SP-0010,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9047,fossil,Carpometacarpus with large carpal knob; male. Right.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
