specimen_id,species_id,repository,catalogue_number,element,locality_id,provenance,evidence_confidence,photograph_available,photograph_source,3d_available,3d_repository,3d_id,notes,record_provenance_class,primary_source_id
MAS-SP-0001,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 3224,"Long bone diaphysis, probably tibia or femur.",MAS-LOC-0001,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",A,No,https://data.nhm.ac.uk/object/0729504b-1b72-40fe-bcf9-7455ea088784/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0002,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1387,Musket ball on carpometacarpus (CMC) of a male bird. Thin sectioned by Tony Wighton.,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene ?. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0003,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 3296,mandibular symphysis,MAS-LOC-0003,"Lophopsittacus mauritianus Owen, 1866. Quaternary, Pleistocene. Mare aux Songes, Mauritius",A,No,https://data.nhm.ac.uk/object/b23f8cc5-a340-4a0f-9faf-0262655b560f/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0004,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9041,humerus male right.,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0005,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9042,coracoid left female,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0006,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9043,"ulna male right, pathological.",MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0007,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9044,Carpometacarpus without carpal knob; male.,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0008,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9045,carpometacarpus with carpal knob ('musket ball'); female. Left.,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0009,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9046,Carpometacarpus without carpal knob; female. Left.,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0010,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9047,Carpometacarpus with large carpal knob; male. Right.,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
