specimen_id,species_id,repository,catalogue_number,element,locality_id,provenance,evidence_confidence,photograph_available,photograph_source,3d_available,3d_repository,3d_id,notes
MAS-SP-0001,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 3224,,MAS-LOC-0001,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0002,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1387,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene ?. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0003,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 3296,mandibular symphysis,MAS-LOC-0003,"Lophopsittacus mauritianus Owen, 1866. Quaternary, Pleistocene. Mare aux Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0004,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9041,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0005,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9042,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0006,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9043,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0007,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9044,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0008,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9045,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0009,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9046,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0010,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9047,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
MAS-SP-0011,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1441 1,,MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.
