source_id,applies_to,record_ids,source_label,source_url,accessed_on,notes
MAS-SRC-0001,collection / multiple records,MAS-PUB-0001,"UMZC Zoological Specimens, GBIF dataset",https://www.gbif.org/dataset/717b3b87-0ebd-46b4-812b-4a29786798d9,2026-08-28,"Official UMZC-published occurrence dataset; Version 6.1, publication date 2019-07-16."
MAS-SRC-0002,taxa; specimens; publication,MAS-TAX-0003; MAS-TAX-0033; MAS-TAX-0034; MAS-SP-0294; MAS-SP-0295; MAS-SP-0297; MAS-SP-0298; MAS-SP-0299; MAS-SP-0300; MAS-PUB-0002; MAS-Q-0001; MAS-Q-0004,Hume 2007 Mascarene parrots,https://doi.org/10.11646/zootaxa.1513.1.1,2026-08-28,"Primary source for parrot taxonomy, types, figures and UMZC specimen numbers used in this update."
MAS-SRC-0003,specimens; publication,MAS-SP-0011; MAS-SP-0012; MAS-SP-0289; MAS-SP-0290; MAS-SP-0291; MAS-SP-0292; MAS-SP-0293; MAS-PUB-0003,Hume & Steel 2013 Solitaire wing weapon,https://doi.org/10.1111/bij.12087,2026-08-28,Primary source for listed Solitaire wing elements and UMZC catalogue numbers.
MAS-SRC-0004,specimen; publication,MAS-TAX-0004; MAS-SP-0296; MAS-PUB-0004,Hume 2014 Mascarene starlings,https://doi.org/10.11646/zootaxa.3849.1.1,2026-08-28,Primary source for UMZC 566 and Mascarene starling systematics.
MAS-SRC-0005,taxa; specimens; publication,MAS-TAX-0012; MAS-TAX-0035; MAS-SP-0301; MAS-SP-0302; MAS-SP-0303; MAS-PUB-0005,Hume 2019 Mascarene rails,https://doi.org/10.11646/zootaxa.4626.1.1,2026-08-28,Primary source for Aphanapteryx synonymy/figured UMZC material and Dryolimnas chekei holotype.
MAS-SRC-0006,specimens; publication,MAS-SP-0286; MAS-SP-0287; MAS-SP-0288; MAS-PUB-0006; MAS-Q-0002,Citron et al. 2026 Dodo and Solitaire sensory anatomy,https://doi.org/10.1093/zoolinnean/zlag123,2026-08-28,"Primary source for UMZC Solitaire CT/endocast specimen identifiers 415.R, 643 and 647."
MAS-SRC-0007,collection search interface,,University Museum of Zoology Cambridge online collections database,https://www.museum.zoo.cam.ac.uk/collection/online,2026-08-28,"Public collection search interface cited by Julian Hume; current result pages were not machine-readable in this workflow, so publication-level records were used conservatively."
MAS-SRC-0008,specimens; publication,MAS-PUB-0020; MAS-PUB-0021; MAS-PUB-0022; MAS-PUB-0023; MAS-PUB-0024,Biodiversity Heritage Library (BHL),http://www.biodiversitylibrary.org,2026-09-04,Individual links for each page present on the site
MAS-SRC-0009,taxon / 3D model,MAS-TAX-0001,3D interactive model,https://sketchfab.com/models/b66a301fb38d4dcc92a7717a800d5372/embed?autostart=1,2026-09-24,The model is of the Thirioux dodo skeleton on display at the Durban Natural Science Museum in South Africa.
MAS-SRC-0010,specimens,MAS-SP-0001; MAS-SP-0002; MAS-SP-0003; MAS-SP-0004; MAS-SP-0005; MAS-SP-0006; MAS-SP-0007; MAS-SP-0008; MAS-SP-0009; MAS-SP-0010; MAS-SP-0011A; MAS-SP-0011; MAS-SP-0012; MAS-SP-0013; MAS-SP-0014; MAS-SP-0015; MAS-SP-0016; MAS-SP-0017; MAS-SP-0018; MAS-SP-0019; MAS-SP-0021; MAS-SP-0022; MAS-SP-0023; MAS-SP-0024; MAS-SP-0025; MAS-SP-0026; MAS-SP-0027; MAS-SP-0028; MAS-SP-0029; MAS-SP-0030; MAS-SP-0031; MAS-SP-0032; MAS-SP-0033; MAS-SP-0034; MAS-SP-0035; MAS-SP-0036; MAS-SP-0037; MAS-SP-0038; MAS-SP-0039; MAS-SP-0041; MAS-SP-0042; MAS-SP-0043; MAS-SP-0044; MAS-SP-0045; MAS-SP-0046; MAS-SP-0047; MAS-SP-0048; MAS-SP-0049; MAS-SP-0050; MAS-SP-0051; MAS-SP-0052; MAS-SP-0053; MAS-SP-0054; MAS-SP-0055; MAS-SP-0056; MAS-SP-0057; MAS-SP-0058; MAS-SP-0059; MAS-SP-0060; MAS-SP-0061; MAS-SP-0062; MAS-SP-0063; MAS-SP-0064; MAS-SP-0065; MAS-SP-0066; MAS-SP-0067; MAS-SP-0068; MAS-SP-0069; MAS-SP-0070; MAS-SP-0071; MAS-SP-0072; MAS-SP-0073; MAS-SP-0074; MAS-SP-0075; MAS-SP-0076; MAS-SP-0077; MAS-SP-0078; MAS-SP-0079; MAS-SP-0080; MAS-SP-0081; MAS-SP-0082; MAS-SP-0083; MAS-SP-0084; MAS-SP-0085; MAS-SP-0086; MAS-SP-0087; MAS-SP-0088; MAS-SP-0089; MAS-SP-0090; MAS-SP-0091; MAS-SP-0092; MAS-SP-0093; MAS-SP-0094; MAS-SP-0095; MAS-SP-0096; MAS-SP-0097; MAS-SP-0098; MAS-SP-0099; MAS-SP-0100; MAS-SP-0101; MAS-SP-0102; MAS-SP-0103; MAS-SP-0104; MAS-SP-0105; MAS-SP-0106; MAS-SP-0107; MAS-SP-0108; MAS-SP-0109; MAS-SP-0110; MAS-SP-0111; MAS-SP-0112; MAS-SP-0113; MAS-SP-0114; MAS-SP-0115; MAS-SP-0116; MAS-SP-0117; MAS-SP-0118; MAS-SP-0119; MAS-SP-0120; MAS-SP-0121; MAS-SP-0122; MAS-SP-0123; MAS-SP-0124; MAS-SP-0125; MAS-SP-0126; MAS-SP-0127; MAS-SP-0128; MAS-SP-0129; MAS-SP-0130; MAS-SP-0131; MAS-SP-0132; MAS-SP-0133; MAS-SP-0134; MAS-SP-0135; MAS-SP-0136; MAS-SP-0137; MAS-SP-0138; MAS-SP-0139; MAS-SP-0140; MAS-SP-0141; MAS-SP-0142; MAS-SP-0143; MAS-SP-0144; MAS-SP-0145; MAS-SP-0146; MAS-SP-0147; MAS-SP-0148; MAS-SP-0149; MAS-SP-0150; MAS-SP-0151; MAS-SP-0152; MAS-SP-0153; MAS-SP-0154; MAS-SP-0155; MAS-SP-0156; MAS-SP-0157; MAS-SP-0158; MAS-SP-0159; MAS-SP-0160; MAS-SP-0161; MAS-SP-0162; MAS-SP-0163; MAS-SP-0164; MAS-SP-0165; MAS-SP-0166; MAS-SP-0167; MAS-SP-0168; MAS-SP-0169; MAS-SP-0170; MAS-SP-0171; MAS-SP-0172; MAS-SP-0173; MAS-SP-0174; MAS-SP-0175; MAS-SP-0176; MAS-SP-0177; MAS-SP-0178; MAS-SP-0179; MAS-SP-0180; MAS-SP-0181; MAS-SP-0182; MAS-SP-0183; MAS-SP-0184; MAS-SP-0185; MAS-SP-0186; MAS-SP-0187; MAS-SP-0188; MAS-SP-0189; MAS-SP-0190; MAS-SP-0191; MAS-SP-0192; MAS-SP-0193; MAS-SP-0194; MAS-SP-0195; MAS-SP-0196; MAS-SP-0197; MAS-SP-0198; MAS-SP-0199; MAS-SP-0200; MAS-SP-0201; MAS-SP-0202; MAS-SP-0203; MAS-SP-0204; MAS-SP-0205; MAS-SP-0206; MAS-SP-0207; MAS-SP-0208; MAS-SP-0209; MAS-SP-0210; MAS-SP-0211; MAS-SP-0212; MAS-SP-0213; MAS-SP-0214; MAS-SP-0215; MAS-SP-0216; MAS-SP-0217; MAS-SP-0218; MAS-SP-0219; MAS-SP-0220; MAS-SP-0221; MAS-SP-0222; MAS-SP-0223; MAS-SP-0224; MAS-SP-0225; MAS-SP-0226; MAS-SP-0227; MAS-SP-0228; MAS-SP-0229; MAS-SP-0230; MAS-SP-0231; MAS-SP-0232; MAS-SP-0233; MAS-SP-0234; MAS-SP-0235; MAS-SP-0236; MAS-SP-0237; MAS-SP-0238; MAS-SP-0239; MAS-SP-0240; MAS-SP-0241; MAS-SP-0242; MAS-SP-0243; MAS-SP-0244; MAS-SP-0245; MAS-SP-0246; MAS-SP-0247; MAS-SP-0248; MAS-SP-0249; MAS-SP-0250; MAS-SP-0251; MAS-SP-0252; MAS-SP-0253; MAS-SP-0254; MAS-SP-0255; MAS-SP-0256; MAS-SP-0257; MAS-SP-0258; MAS-SP-0259; MAS-SP-0260; MAS-SP-0261; MAS-SP-0262; MAS-SP-0263; MAS-SP-0264; MAS-SP-0265; MAS-SP-0266; MAS-SP-0267; MAS-SP-0268; MAS-SP-0269; MAS-SP-0270; MAS-SP-0271; MAS-SP-0272; MAS-SP-0273; MAS-SP-0274; MAS-SP-0275; MAS-SP-0276; MAS-SP-0277; MAS-SP-0278; MAS-SP-0279; MAS-SP-0280; MAS-SP-0281; MAS-SP-0282; MAS-SP-0283; MAS-SP-0284; MAS-SP-0285,NHMUK Palaeontology collection records supplied to Mascarene Paleo,https://data.nhm.ac.uk/,2026-08-28,Direct museum database extract underlying the NHMUK specimen records. Specimen-level NHMUK object URLs are retained where available.
